"iso3c","year","source","generation"
"ARG",2019,"bioenergy",2158.58
"ARG",2019,"coal",532.27
"ARG",2019,"gas",91246.55
"ARG",2019,"hydro",35375.48
"ARG",2019,"nuclear",7927.08
"ARG",2019,"oil",3204.5
"ARG",2019,"solar",800.94
"ARG",2019,"wind",4996.87
"ARG",2020,"bioenergy",2606.67
"ARG",2020,"coal",1245.68
"ARG",2020,"gas",88407.75
"ARG",2020,"hydro",30355.43
"ARG",2020,"nuclear",10010.88
"ARG",2020,"oil",6553.23
"ARG",2020,"solar",1345.6
"ARG",2020,"wind",9412.33
"ARM",2000,"gas",2692.1
"ARM",2000,"hydro",1261.1
"ARM",2000,"nuclear",2005.4
"ARM",2001,"gas",2790.4
"ARM",2001,"hydro",967.7
"ARM",2001,"nuclear",1986.7
"ARM",2002,"gas",1579.1
"ARM",2002,"hydro",1657.5
"ARM",2002,"nuclear",2282.2
"ARM",2003,"gas",1521.5
"ARM",2003,"hydro",1981.9
"ARM",2003,"nuclear",1997.5
"ARM",2004,"gas",1613.6
"ARM",2004,"hydro",2013.6
"ARM",2004,"nuclear",2402.8
"ARM",2005,"gas",1827.7
"ARM",2005,"hydro",1772.9
"ARM",2005,"nuclear",2716.3
"ARM",2006,"gas",1475.7
"ARM",2006,"hydro",1822.7
"ARM",2006,"nuclear",2640.3
"ARM",2006,"wind",2.6
"ARM",2007,"gas",1488.8
"ARM",2007,"hydro",1852.5
"ARM",2007,"nuclear",2553.4
"ARM",2007,"wind",2.9
"ARM",2008,"gas",1853.9
"ARM",2008,"hydro",1797
"ARM",2008,"nuclear",2461.6
"ARM",2008,"wind",1.9
"ARM",2009,"gas",1154.1
"ARM",2009,"hydro",2019.4
"ARM",2009,"nuclear",2493.7
"ARM",2009,"wind",4.3
"ARM",2010,"gas",1438.3
"ARM",2010,"hydro",2556.1
"ARM",2010,"nuclear",2490
"ARM",2010,"wind",7
"ARM",2011,"gas",2390.3
"ARM",2011,"hydro",2488.7
"ARM",2011,"nuclear",2548.1
"ARM",2011,"wind",5.6
"ARM",2012,"gas",3399.1
"ARM",2012,"hydro",2311
"ARM",2012,"nuclear",2322
"ARM",2012,"wind",4.1
"ARM",2013,"gas",3173.1
"ARM",2013,"hydro",2173.4
"ARM",2013,"nuclear",2359.7
"ARM",2013,"wind",3.8
"ARM",2014,"gas",3288.6
"ARM",2014,"hydro",1992.6
"ARM",2014,"nuclear",2464.8
"ARM",2014,"wind",4
"ARM",2015,"gas",2801.2
"ARM",2015,"hydro",2205.6
"ARM",2015,"nuclear",2787.7
"ARM",2015,"wind",3.7
"ARM",2016,"gas",2581.5
"ARM",2016,"hydro",2351.4
"ARM",2016,"nuclear",2380.5
"ARM",2016,"solar",1.15
"ARM",2016,"wind",1.8
"ARM",2017,"gas",2871.8
"ARM",2017,"hydro",2269
"ARM",2017,"nuclear",2619.6
"ARM",2017,"solar",2.74
"ARM",2017,"wind",2.1
"ARM",2018,"gas",3375.6
"ARM",2018,"hydro",2318.2
"ARM",2018,"nuclear",2076.1
"ARM",2018,"solar",19.4
"ARM",2018,"wind",1.9
"ARM",2019,"gas",3046.9
"ARM",2019,"hydro",2408.4
"ARM",2019,"nuclear",2197.8
"ARM",2019,"solar",23.6
"ARM",2019,"wind",3.3
"ARM",2020,"gas",3063.96
"ARM",2020,"hydro",2421.89
"ARM",2020,"nuclear",2210.11
"ARM",2020,"solar",23.73
"ARM",2020,"wind",3.32
"ASM",2000,"oil",169.59
"ASM",2001,"oil",172.99
"ASM",2002,"oil",181.05
"ASM",2003,"oil",188.17
"ASM",2004,"oil",188.08
"ASM",2005,"oil",188.9
"ASM",2006,"oil",187.78
"ASM",2007,"oil",185.96
"ASM",2008,"oil",185.88
"ASM",2009,"oil",173.58
"ASM",2010,"oil",158.08
"ASM",2011,"oil",155.12
"ASM",2011,"solar",0.27
"ASM",2012,"oil",155.12
"ASM",2012,"solar",1.41
"ASM",2013,"oil",153.87
"ASM",2013,"solar",2.42
"ASM",2014,"oil",154.76
"ASM",2014,"solar",2.36
"ASM",2015,"oil",161.4
"ASM",2015,"solar",2.49
"ASM",2016,"oil",167.8
"ASM",2016,"solar",3.13
"ASM",2017,"oil",161.99
