Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Morocco,CAIT,Electricity/Heat,All GHG,MtCO₂e,28.84,23.41,22.62,21.7,22.33,21.69,19.17,20.63,20.06,17.83,15.92,16.99,16.8,17.07,16.93,16.01,14.58,14.12,13.29,11.29,11.05,10.67,10.68,10.0,11.74,10.25,9.29,8.45,7.87,7.95
Greece,CAIT,Electricity/Heat,All GHG,MtCO₂e,28.57,33.98,34.83,33.18,34.71,38.27,41.67,46.02,45.41,45.42,48.49,51.42,52.34,49.03,50.82,50.1,49.33,48.25,48.38,47.93,41.98,40.61,39.17,39.17,42.32,40.59,39.06,39.03,36.49,37.25
Romania,CAIT,Electricity/Heat,All GHG,MtCO₂e,27.54,29.93,30.91,30.41,32.36,31.44,32.3,39.93,43.86,38.88,40.78,48.28,49.33,50.73,47.3,48.11,52.7,49.88,52.42,49.61,47.25,55.15,63.52,71.8,69.9,69.85,82.33,85.56,68.41,79.65
Bahrain,CAIT,Electricity/Heat,All GHG,MtCO₂e,26.44,23.92,23.89,23.66,24.19,23.92,23.0,22.27,21.62,21.48,20.92,21.07,19.64,19.38,17.68,15.32,15.65,15.1,14.46,14.07,13.72,13.64,12.73,12.61,12.04,11.93,11.65,10.9,9.12,9.54
Singapore,CAIT,Electricity/Heat,All GHG,MtCO₂e,26.14,26.05,26.15,25.42,24.89,24.56,25.14,25.95,26.69,25.32,23.0,25.84,26.05,25.54,25.68,28.88,27.98,31.75,32.77,33.14,31.84,31.11,32.0,32.48,30.95,31.65,30.31,25.56,23.97,23.22
Turkmenistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,25.93,25.94,25.95,25.98,26.0,24.03,23.64,23.34,22.71,21.6,18.74,22.29,21.11,19.37,18.62,17.35,16.0,15.32,14.98,14.14,11.42,9.36,9.83,9.6,11.83,11.23,8.31,5.91,11.69,13.08
Nigeria,CAIT,Electricity/Heat,All GHG,MtCO₂e,25.47,25.91,25.61,27.3,25.94,26.32,24.1,23.67,22.03,19.04,15.36,17.28,17.06,16.76,16.93,15.51,13.2,14.99,14.08,13.74,12.54,11.41,12.11,11.62,10.88,10.53,11.69,11.46,9.7,8.26
Oman,CAIT,Electricity/Heat,All GHG,MtCO₂e,24.38,25.34,25.13,23.85,23.96,22.87,21.8,21.42,20.39,19.24,18.73,17.27,16.66,16.41,15.29,16.49,15.43,15.02,14.45,13.31,10.79,9.93,9.44,8.86,8.49,7.11,6.51,6.06,5.89,5.75
Libya,CAIT,Electricity/Heat,All GHG,MtCO₂e,24.19,24.54,23.5,21.55,26.03,25.55,27.66,26.03,19.31,26.74,26.25,25.71,24.96,26.3,24.85,21.5,22.37,20.77,19.61,19.42,18.8,18.05,17.15,17.3,17.12,14.39,12.03,11.82,11.89,11.71
Belgium,CAIT,Electricity/Heat,All GHG,MtCO₂e,23.49,22.65,22.27,22.15,23.38,22.5,23.43,25.43,26.66,30.12,26.07,28.17,29.41,29.72,30.2,30.07,30.7,29.58,29.37,31.37,30.01,33.1,31.45,33.0,33.27,33.6,31.38,31.48,32.3,31.81
Bulgaria,CAIT,Electricity/Heat,All GHG,MtCO₂e,22.66,24.13,27.58,26.15,29.43,28.38,26.67,30.76,35.48,30.85,28.98,32.03,32.35,29.04,28.77,28.88,29.72,26.75,29.55,26.68,26.93,29.16,29.71,36.04,35.71,35.17,38.29,37.87,39.8,45.45
Colombia,CAIT,Electricity/Heat,All GHG,MtCO₂e,20.31,17.98,15.89,22.53,21.58,19.54,18.76,15.21,13.59,17.42,17.0,10.92,12.4,12.2,12.8,12.23,13.48,13.26,13.79,13.58,11.9,16.07,14.39,11.8,13.78,12.19,13.82,13.32,12.67,12.19
Austria,CAIT,Electricity/Heat,All GHG,MtCO₂e,19.16,17.97,20.2,18.65,19.6,19.49,21.38,22.06,24.56,24.34,20.09,23.69,23.76,24.7,25.71,24.95,24.15,22.15,21.65,19.8,20.19,21.05,21.94,21.44,20.87,19.31,17.79,17.65,20.89,20.04
Finland,CAIT,Electricity/Heat,All GHG,MtCO₂e,18.74,21.41,20.21,22.08,20.69,23.71,26.47,24.96,29.82,35.71,29.82,29.97,36.69,38.69,27.05,38.62,42.51,34.29,31.47,26.19,24.72,24.29,29.46,31.99,25.01,27.07,22.36,19.27,21.63,20.03
Portugal,CAIT,Electricity/Heat,All GHG,MtCO₂e,15.82,21.0,24.65,21.01,21.75,17.73,18.91,20.35,19.27,17.57,22.85,21.94,22.29,24.59,28.12,24.33,23.29,27.21,23.98,24.18,26.65,21.29,18.94,17.78,21.99,19.05,19.05,20.38,17.17,16.56
Lebanon,CAIT,Electricity/Heat,All GHG,MtCO₂e,15.55,15.4,15.72,14.72,14.32,13.56,12.27,11.18,11.73,11.29,10.01,9.65,8.08,8.27,7.38,7.49,8.59,8.55,7.66,7.23,8.14,8.01,5.96,4.99,3.63,3.54,3.2,2.63,3.18,2.81
Norway,CAIT,Electricity/Heat,All GHG,MtCO₂e,15.04,15.47,15.94,15.54,16.01,14.96,14.73,14.15,14.97,16.1,13.58,12.26,12.5,12.16,11.76,11.8,11.64,10.75,10.68,9.96,14.33,13.25,12.24,9.98,10.68,12.08,11.41,10.32,6.99,7.34
Cuba,CAIT,Electricity/Heat,All GHG,MtCO₂e,14.23,15.35,14.91,16.64,16.83,16.28,15.68,15.66,15.04,14.32,14.21,13.92,13.6,13.15,13.15,13.34,13.53,12.94,9.71,11.0,10.4,10.84,10.98,11.64,11.08,10.52,9.3,9.18,11.15,12.95
Azerbaijan,CAIT,Electricity/Heat,All GHG,MtCO₂e,14.21,14.08,14.21,14.26,14.36,14.15,13.67,13.89,11.57,9.9,11.46,13.9,14.49,16.99,16.51,15.72,16.32,14.01,15.18,16.36,15.97,15.93,14.33,14.86,15.47,16.94,22.42,23.07,22.52,21.85
Peru,CAIT,Electricity/Heat,All GHG,MtCO₂e,14.13,13.48,14.84,17.68,15.71,16.51,13.24,15.24,16.01,14.42,11.19,9.99,7.9,6.98,7.44,6.91,4.89,4.91,4.34,4.8,4.95,4.85,5.47,5.46,4.5,3.83,4.12,4.04,3.55,3.99
Laos,CAIT,Electricity/Heat,All GHG,MtCO₂e,14.06,14.1,13.99,10.92,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bosnia and Herzegovina,CAIT,Electricity/Heat,All GHG,MtCO₂e,13.74,15.23,15.38,15.07,12.91,13.06,15.33,15.23,16.65,13.95,14.13,13.63,12.54,11.97,10.63,10.34,10.42,9.62,8.82,8.98,7.85,7.97,5.86,2.11,0.79,0.69,6.0,6.91,8.74,10.77
Mongolia,CAIT,Electricity/Heat,All GHG,MtCO₂e,13.7,13.63,12.83,11.78,11.76,11.72,11.19,10.14,9.37,8.95,8.35,7.98,8.06,7.59,7.69,6.67,6.52,7.0,6.44,6.61,6.16,6.28,5.52,5.89,6.62,6.67,7.25,8.05,8.28,6.65
Hungary,CAIT,Electricity/Heat,All GHG,MtCO₂e,13.18,13.78,14.45,13.99,13.81,13.36,13.56,15.93,16.71,17.39,17.01,20.11,20.89,20.01,19.7,21.59,23.64,22.64,24.06,23.87,26.64,26.98,26.12,25.1,24.76,24.4,24.98,24.65,24.23,23.49
